"stock, I am able to deduct the material cost from the total which will",,,,,,,,,,
bring your total to $450. I've attached the l,,2025-02-25 19:34:11.978,2025-07-10 17:30:07.528,2025-03-12 22:35:44.362,,,,,,
How about Sunday afternoon after I�m done being hungover?,No shirt and cologne for you pooja,2025-03-06 16:53:51.630,2025-07-12 16:25:06.932,2025-07-08 16:06:07.213,,,,,,
136,591,1,1,0,0,,,2025-03-06 17:14:55.573,2025-03-08 08:17:52.217,
137,592,1,1,0,0,,,2025-03-06 17:38:42.787,2025-03-09 05:43:30.351,
138,593,1,1,0,0,,,2025-03-06 17:38:43.136,2025-06-17 15:18:37.195,
139,594,1,1,0,0,,,2025-03-06 18:10:37.125,2025-03-06 18:10:37.125,
141,596,1,1,0,0,,,2025-03-06 19:47:31.630,2025-04-20 18:19:06.834,
142,597,1,1,0,0,,,2025-03-06 20:01:56.801,2025-03-06 20:01:56.801,
143,598,1,1,0,0,,,2025-03-06 20:01:58.068,2025-03-06 20:01:58.068,
145,600,1,1,0,0,,,2025-03-06 21:39:33.675,2025-05-29 13:19:30.787,
146,601,1,1,0,0,,,2025-03-06 21:49:23.571,2025-07-12 18:15:27.826,
---
the gloss black side mirrors and side vents. Please lmk ASAP 4044963052.,All set,2025-03-07 15:44:12.206,2025-04-19 16:41:39.487,2025-04-19 00:39:00.682,,,,,,
244,699,1,1,0,0,,,2025-03-07 15:52:45.407,2025-03-07 15:52:45.407,
245,700,1,1,0,0,,,2025-03-07 17:32:15.419,2025-03-07 17:32:15.419,
246,701,1,1,0,0,,,2025-03-07 17:53:19.509,2025-03-07 17:53:19.509,
247,702,1,1,0,0,,,2025-03-07 17:53:20.865,2025-05-05 17:44:02.012,
248,703,1,1,0,0,,,2025-03-07 19:09:21.799,2025-03-07 19:09:21.799,
249,704,1,1,0,0,,,2025-03-07 19:09:22.671,2025-05-05 18:05:30.677,
250,705,1,1,0,0,,,2025-03-07 20:21:43.137,2025-03-07 20:21:43.137,
251,706,1,1,0,0,,,2025-03-07 20:21:45.278,2025-05-05 17:44:07.252,
252,707,1,1,0,0,,,2025-03-07 20:46:11.710,2025-03-07 20:46:11.710,
---
Sent from Yahoo Mail for iPhone,,2025-03-09 22:19:36.523,2025-05-08 18:29:23.081,2025-04-07 04:12:52.215,,,,,,
303,758,1,1,0,0,,,2025-03-10 03:57:32.206,2025-03-19 15:41:13.754,
304,759,1,1,0,0,,Sorry wrong number,2025-03-10 16:34:28.176,2025-03-27 00:08:21.744,2025-03-16 14:59:19.079
305,760,1,1,0,0,,,2025-03-10 18:42:17.316,2025-03-10 18:42:17.316,
306,761,1,1,0,0,,,2025-03-10 18:42:18.852,2025-03-10 18:42:18.852,
307,762,1,1,0,0,,,2025-03-10 19:16:15.520,2025-05-12 18:36:35.335,
308,763,1,1,0,0,,,2025-03-10 19:16:15.901,2025-03-10 19:16:15.901,
309,764,1,1,0,0,,,2025-03-10 19:29:33.810,2025-03-15 15:28:59.695,
310,765,1,1,0,0,,,2025-03-10 19:29:33.927,2025-03-10 19:29:33.927,
311,766,1,1,0,0,,,2025-03-10 21:41:29.216,2025-03-10 21:41:29.216,
---
Sent from AOL on Android,,2025-03-11 18:23:52.306,2025-04-23 17:54:13.020,2025-03-17 12:15:45.174,,,,,,
323,778,1,1,0,0,,,2025-03-11 18:23:54.808,2025-03-11 18:23:54.808,
324,779,1,1,0,0,,,2025-03-11 19:12:27.231,2025-03-11 19:12:27.231,
325,780,1,1,0,0,,,2025-03-11 19:12:27.767,2025-07-06 06:44:54.280,
326,781,1,1,0,0,,,2025-03-11 20:29:07.525,2025-03-11 20:29:07.525,
327,782,1,1,0,0,,,2025-03-11 20:29:08.359,2025-03-11 20:29:08.359,
328,783,1,1,0,0,,,2025-03-11 21:29:30.872,2025-03-11 21:29:30.872,
330,785,1,1,0,0,,,2025-03-12 01:44:14.323,2025-05-08 18:46:34.907,
331,786,1,1,0,0,,,2025-03-12 01:44:14.358,2025-03-12 01:44:14.358,
332,787,1,1,0,0,,,2025-03-12 02:17:04.830,2025-03-12 02:17:04.830,
---
Thank you contacting TC Customs ��,2025-03-14 16:20:45.243,2025-03-31 21:22:59.659,2025-03-14 16:24:42.933,,,,,,,
398,853,1,1,0,0,,,2025-03-14 16:55:34.304,2025-03-14 17:03:52.675,
399,854,1,1,0,0,,,2025-03-14 17:05:00.776,2025-03-14 17:05:00.776,
400,855,1,1,0,0,,for sure i'll see you man! appreciate you staying a little later ?,2025-03-14 17:05:00.929,2025-03-24 14:58:17.908,2025-03-15 15:37:59.770
401,856,1,1,0,0,,,2025-03-14 19:34:08.620,2025-05-08 18:51:15.532,
402,857,1,1,0,0,,,2025-03-14 19:34:10.195,2025-03-14 19:34:10.195,
403,859,1,1,0,0,,,2025-03-14 21:15:35.978,2025-03-14 21:15:35.978,
404,858,1,1,0,0,,,2025-03-14 21:15:35.980,2025-03-14 21:15:35.980,
405,860,1,1,0,0,,,2025-03-14 23:52:44.596,2025-03-14 23:52:44.596,
406,861,1,1,0,0,,,2025-03-14 23:52:46.223,2025-03-14 23:52:46.223,
---
will call back to make another appointment,,2025-03-17 07:50:25.807,2025-04-21 19:26:21.291,2025-03-20 12:32:04.127,,,,,,
431,886,1,1,0,0,,,2025-03-17 08:22:47.541,2025-03-17 08:22:47.541,
432,887,1,1,0,0,,,2025-03-17 08:33:03.413,2025-03-21 15:23:54.802,
433,888,1,1,0,0,,,2025-03-17 15:17:28.996,2025-03-17 15:21:40.547,
434,889,1,1,0,0,,,2025-03-17 16:41:43.770,2025-03-17 16:41:43.770,
435,890,1,1,0,0,,,2025-03-17 16:43:18.040,2025-03-17 16:43:18.040,
436,891,1,1,0,0,,,2025-03-17 16:45:23.592,2025-03-17 16:45:23.592,
437,892,1,1,0,0,,,2025-03-17 16:46:49.424,2025-03-17 16:46:49.424,
438,893,1,1,0,0,,,2025-03-17 16:47:08.486,2025-03-17 16:47:08.486,
439,894,1,1,0,0,,,2025-03-17 16:50:55.147,2025-06-17 15:19:05.430,
---
"Last question, when reviewing the estimate, would I need to approve it and then pay with stripe? Will that allow me the option to pay with kl",2025-03-21 18:24:18.514,2025-04-01 18:02:51.539,2025-03-27 15:09:18.056,,,,,,,
492,947,1,1,0,0,,,2025-03-21 19:19:05.328,2025-03-26 03:58:47.294,
493,948,1,1,0,0,,,2025-03-21 21:20:51.975,2025-03-21 21:30:53.399,
494,949,1,1,0,0,,Thanks. Tax is showing $0 is that built into the price?,2025-03-22 01:17:52.033,2025-04-07 03:03:00.126,2025-04-05 19:11:23.251
495,950,1,1,0,0,,Think wrap Atlanta is who my wife went too,2025-03-22 02:01:22.292,2025-05-09 18:40:13.969,2025-04-29 15:19:15.321
496,951,1,1,0,0,,,2025-03-22 02:08:03.595,2025-03-22 02:08:03.595,
497,952,1,1,0,0,,Please cancel this appt,2025-03-22 11:52:44.860,2025-05-12 19:37:08.388,2025-05-05 13:04:47.702
498,953,1,1,0,0,,,2025-03-22 12:34:15.399,2025-03-22 12:34:15.399,
499,954,1,1,0,0,,,2025-03-22 15:20:21.856,2025-03-22 15:20:21.856,
500,955,1,1,0,0,,I can drop the truck off today?,2025-03-22 16:11:30.778,2025-03-25 14:45:05.707,2025-03-25 13:13:24.976
---
"I'd like to reschedule my appointment to Thursday at 10:30AM, if possible.",,2025-03-24 23:12:17.601,2025-04-12 14:17:34.774,2025-04-01 19:02:25.701,,,,,,
527,982,1,1,0,0,,,2025-03-25 16:34:02.940,2025-03-25 16:34:02.940,
528,983,1,1,0,0,,,2025-03-25 17:07:06.832,2025-04-01 05:15:47.513,
530,985,1,1,0,0,,,2025-03-25 17:39:54.299,2025-07-06 06:44:50.403,
533,988,1,1,0,0,,What's up see I'll let u know how we moving real soon hope all is well,2025-03-25 18:45:06.337,2025-05-07 15:56:49.182,2025-05-07 13:06:57.219
534,989,1,1,0,0,,,2025-03-25 20:21:50.879,2025-07-12 18:08:45.060,
535,990,1,1,0,0,,,2025-03-25 20:50:05.524,2025-03-25 20:50:05.524,
536,991,1,1,0,0,,,2025-03-25 20:51:48.158,2025-03-25 20:51:48.158,
537,992,1,1,0,0,,,2025-03-25 20:52:31.403,2025-03-25 20:52:31.403,
538,993,1,1,0,0,,,2025-03-25 20:53:44.405,2025-03-25 20:53:44.405,
---
Fred Young,,,,,,,,,,
404-975-7209,,,,,,,,,,
Athens,,,,,,,,,,
Braselton,,,,,,,,,,
Sandy Springs,,,,,,,,,,
Suwanee,,,,,,,,,,
Disclaimer,,,,,,,,,,
This information contained in this communication from the sender is co,,2025-03-27 17:57:45.261,2025-03-29 21:37:59.629,2025-03-28 01:15:46.897,,,,,,
590,1045,1,1,0,0,,,2025-03-27 19:17:24.395,2025-03-27 19:17:24.395,
591,1046,1,1,0,0,,,2025-03-27 19:58:03.596,2025-04-04 16:11:53.523,
---
On monday morning,2025-03-30 08:50:58.141,2025-05-01 20:11:41.248,2025-04-01 17:44:45.107,,,,,,,
611,1066,1,1,0,0,,Midnight blue or black,2025-03-30 22:55:41.863,2025-04-21 16:27:23.659,2025-04-21 16:27:04.248
612,1067,1,1,0,0,,,2025-03-30 23:50:25.597,2025-04-21 15:47:36.571,
613,1068,1,1,0,0,,,2025-03-31 00:56:46.656,2025-03-31 00:56:46.656,
614,1069,1,1,0,0,,,2025-03-31 01:05:33.857,2025-03-31 01:05:33.857,
615,1070,1,1,0,0,,,2025-03-31 04:56:20.542,2025-04-23 19:03:08.693,
616,1071,1,1,0,0,,,2025-03-31 13:12:45.998,2025-03-31 13:12:45.998,
617,1072,1,1,0,0,,,2025-03-31 14:48:41.425,2025-04-07 15:45:40.318,
618,1073,1,1,0,0,,,2025-03-31 16:50:34.008,2025-03-31 16:50:34.008,
619,1074,1,1,0,0,,,2025-03-31 17:23:15.757,2025-03-31 17:23:15.757,
---
Is it possible to also get a quote for the back rear panels as well?,,,,,,,,,,
Arafat Uddullah,,2025-04-05 18:48:56.187,2025-04-15 22:15:50.792,2025-04-09 16:33:15.243,,,,,,
664,1120,1,1,0,0,,,2025-04-05 19:15:08.146,2025-04-12 14:15:59.194,2025-04-08 21:13:59.913
665,1121,1,1,0,0,,,2025-04-05 20:44:20.669,2025-04-29 18:05:48.212,
666,1122,1,1,0,0,,,2025-04-05 21:26:20.540,2025-04-05 21:26:20.540,
667,1123,1,1,0,0,,,2025-04-05 23:33:07.371,2025-04-05 23:33:07.371,
668,1124,1,1,0,0,,,2025-04-06 06:10:38.998,2025-04-06 06:10:38.998,
669,1125,1,1,0,0,,,2025-04-07 13:51:05.066,2025-04-07 13:51:05.066,
670,1126,1,1,0,0,,,2025-04-07 15:38:48.309,2025-05-01 03:32:33.312,
671,1127,1,1,0,0,,,2025-04-07 15:55:17.759,2025-04-07 15:55:17.759,
---
How long will you guys need the car? I will be in CA from the 31st to the 6th. Would that be enough time if I,2025-05-03 02:05:29.977,2025-06-04 05:40:48.608,2025-05-10 00:01:01.934,,,,,,,
967,1423,1,1,0,0,,"Sounds good, but the price ?",2025-05-03 07:14:10.517,2025-05-17 16:56:24.169,2025-05-05 20:46:30.112
968,1424,1,1,0,0,,Either or depending of pricing,2025-05-03 16:01:08.423,2025-05-28 15:50:21.177,2025-05-05 17:14:40.132
969,1425,1,1,0,0,,What deal would be available?,2025-05-03 17:12:14.290,2025-06-11 16:46:03.611,2025-05-05 21:13:26.925
970,1426,1,1,0,0,,Thats sounds great,2025-05-03 21:27:40.981,2025-06-04 18:30:17.802,2025-05-05 23:45:08.189
971,1427,1,1,0,0,,,2025-05-03 21:50:22.020,2025-05-03 21:50:22.020,
972,1428,1,1,0,0,,,2025-05-03 23:55:53.968,2025-06-04 18:29:19.051,
973,1429,1,1,0,0,,No pics came through,2025-05-04 00:36:26.065,2025-06-04 18:29:14.860,2025-05-07 20:09:11.504
974,1430,1,1,0,0,,How about if I paint the whole vehicle how much will it cost ?,2025-05-04 00:40:05.257,2025-05-05 21:17:20.063,2025-05-05 18:22:42.698
975,1431,1,1,0,0,,,2025-05-04 00:58:51.735,2025-05-04 00:58:51.735,
---
"There is no attachment, please resend with attachment.",,,,,,,,,,
"Thanks,",,,,,,,,,,
*Tom B.*,,2025-05-05 17:35:22.865,2025-05-07 18:32:00.913,2025-05-06 16:17:32.600,,,,,,
985,1441,1,1,0,0,,Are there payment plan options available? And what's the typical timeline for installation?,2025-05-05 19:25:53.677,2025-06-02 19:12:28.808,2025-05-05 20:36:46.345
986,1442,1,1,0,0,,,2025-05-06 00:57:39.276,2025-05-06 00:57:39.276,
987,1443,1,1,0,0,,,2025-05-06 01:07:22.920,2025-06-02 19:12:06.634,
988,1444,1,1,0,0,,"Not yet, im trying to get quotes from multiple places at the moment",2025-05-06 03:57:18.115,2025-06-02 19:11:17.725,2025-05-07 15:56:38.876
989,1445,1,1,0,0,,,2025-05-06 06:43:59.419,2025-05-11 09:36:31.151,
990,1446,1,1,0,0,,,2025-05-06 13:36:41.180,2025-05-08 22:47:35.218,
991,1447,1,1,0,0,,Anytime,2025-05-06 15:24:58.612,2025-05-11 10:54:06.868,2025-05-10 17:47:18.352
---
We'd love to bring them in together and get moving just need to know a range of what we might be look,2025-05-09 16:21:54.975,2025-06-26 15:57:06.296,2025-06-03 17:27:49.334,,,,,,,
1070,1526,1,1,0,0,,,2025-05-09 16:29:48.297,2025-05-09 17:04:36.533,
1071,1527,1,1,0,0,,,2025-05-09 16:35:08.103,2025-05-09 17:04:33.497,
1073,1529,1,1,0,0,,,2025-05-09 16:47:36.137,2025-05-09 17:04:21.376,
1074,1530,1,1,0,0,,,2025-05-09 17:45:49.922,2025-05-29 13:20:36.829,
1075,1531,1,1,0,0,,,2025-05-09 18:27:54.051,2025-05-14 17:08:04.877,
1076,1532,1,1,0,0,,,2025-05-09 19:12:00.543,2025-06-02 17:27:01.073,
1077,1533,1,1,0,0,,,2025-05-09 19:36:21.992,2025-05-21 17:02:12.178,
1078,1534,1,1,0,0,,,2025-05-09 19:37:41.628,2025-05-12 18:13:12.157,
1079,1535,1,1,0,0,,,2025-05-09 19:48:18.217,2025-05-09 19:48:18.217,
---
TC Customs,,,,,,,,,,
"6350 McDonough Dr NW, Suite J, Norcross, GA",2025-05-23 13:39:18.076,2025-06-27 11:15:29.487,2025-06-02 17:23:09.541,,,,,,,
1244,1700,1,1,0,0,,,2025-05-23 15:21:41.950,2025-05-29 14:23:32.709,
1245,1701,1,1,0,0,,,2025-05-23 16:40:23.478,2025-05-27 19:12:26.320,
1246,1702,1,1,0,0,,,2025-05-23 17:20:31.597,2025-05-23 17:20:54.228,
1247,1703,1,1,0,0,,Navy blue - it is a 2001 Ford truck -the hoods paint it looks like sunburn? Color has faded,2025-05-23 17:31:51.061,2025-05-26 16:05:06.640,2025-05-26 15:20:49.036
1248,1704,1,1,0,0,,,2025-05-23 18:31:59.343,2025-05-26 16:49:53.731,2025-05-26 16:41:42.506
1249,1705,1,1,0,0,,I'm parked out front of suite K & I - can't find J,2025-05-23 18:39:08.737,2025-05-27 19:08:37.765,2025-05-27 15:29:47.613
1250,1706,1,1,0,0,,If yall are open on Saturdays that would be great if not would definitely have to schedule something work Monday through Friday,2025-05-23 19:16:05.643,2025-05-29 14:23:34.377,2025-05-26 16:34:08.048
1251,1707,1,1,0,0,,,2025-05-23 19:59:17.166,2025-05-29 14:10:07.185,
---
Hope you are doing fine,,,,,,,,,,
i need to know what is the part price of the part 2001 Cadillac DeVille,,,,,,,,,,
(1980 Up),,,,,,,,,,
"Rear Crossmember Rear, heavy duty suspension system (opt FE7)",,,,,,,,,,
with tax an,,2025-05-27 18:54:36.449,2025-05-29 20:56:55.287,2025-05-27 19:07:16.720,,,,,,
1290,1746,1,1,0,0,,,2025-05-27 19:01:06.765,2025-05-27 19:10:09.807,
1291,1747,1,1,0,0,,Stop,2025-05-27 19:20:48.787,2025-07-12 20:10:15.996,2025-07-12 20:09:44.526
1292,1748,1,1,0,0,,It's Sting-Gray. And no there's no paint flaking or dents/scratches.,2025-05-27 20:21:15.906,2025-05-28 16:59:27.861,2025-05-28 15:08:29.972
1293,1749,1,1,0,0,,A full wrap,2025-05-27 20:26:39.014,2025-05-29 07:25:32.155,2025-05-28 19:06:40.742
1294,1750,1,1,0,0,,,2025-05-27 20:41:46.368,2025-05-28 18:55:27.564,
---
Get the wheels ceramic coated?,2025-05-28 19:13:38.154,2025-06-27 12:02:40.346,2025-05-29 20:13:19.785,,,,,,,
1306,1762,1,1,0,0,,,2025-05-28 22:31:10.925,2025-05-28 22:31:10.925,
1307,1763,1,1,0,0,,,2025-05-28 22:35:02.897,2025-05-28 22:35:02.897,
1308,1764,1,1,0,0,,,2025-05-28 22:36:07.500,2025-05-28 22:36:07.500,
1309,1765,1,1,0,0,,,2025-05-28 22:38:13.637,2025-05-28 22:38:13.637,
1310,1766,1,1,0,0,,,2025-05-28 22:40:39.338,2025-05-28 22:40:39.338,
1311,1767,1,1,0,0,,,2025-05-28 22:43:15.257,2025-05-28 22:43:15.257,
1312,1768,1,1,0,0,,Make sense I'll let you know when I'm free,2025-05-29 03:45:13.272,2025-06-03 17:47:15.773,2025-05-29 17:15:45.276
1313,1769,1,1,0,0,,Full wrap,2025-05-29 05:14:12.347,2025-07-08 19:24:01.359,2025-06-05 01:37:34.236
1314,1770,1,1,0,0,,I want it a nipsey blue on it,2025-05-29 08:24:42.418,2025-06-03 18:31:37.629,2025-05-30 02:03:23.208
---
Thanks,2025-05-31 02:38:53.359,2025-06-02 15:56:55.632,2025-06-02 15:53:48.956,,,,,,,
1343,1799,1,1,0,0,,Accents,2025-05-31 02:52:31.243,2025-06-27 09:01:45.126,2025-05-31 15:58:45.908
1344,1800,1,1,0,0,,,2025-05-31 02:54:22.401,2025-06-05 23:52:13.521,
1345,1801,1,1,0,0,,,2025-05-31 02:58:10.518,2025-06-02 15:53:30.615,
1346,1802,1,1,0,0,,Okay,2025-05-31 03:03:17.497,2025-05-31 03:10:05.480,2025-05-31 03:06:34.167
1347,1803,1,1,0,0,,,2025-05-31 03:06:20.497,2025-07-07 23:41:16.355,
1348,1804,1,1,0,0,,,2025-05-31 03:08:35.552,2025-05-31 03:08:35.552,
1349,1805,1,1,0,0,,"I'm not sure about a color yet. Honestly, I'm not sure I can afford it. No website has pricing but I definitely have to get the vehicle painted or wrapped.",2025-05-31 07:12:49.316,2025-06-27 11:57:34.626,2025-05-31 16:05:25.841
1350,1806,1,1,0,0,,,2025-05-31 08:44:44.515,2025-05-31 08:44:44.515,
1351,1807,1,1,0,0,,,2025-05-31 08:56:07.268,2025-05-31 08:56:07.268,
---
Luxe Wrap Stars�,2025-05-31 20:11:45.612,2025-06-02 15:53:23.279,2025-05-31 20:20:38.792,,,,,,,
1360,1816,1,1,0,0,,,2025-05-31 20:17:43.450,2025-06-02 15:53:25.498,
1361,1817,1,1,0,0,,,2025-05-31 23:37:40.061,2025-06-21 09:34:02.892,
1362,1818,1,1,0,0,,,2025-06-02 13:20:53.769,2025-06-02 13:20:53.769,
1363,1819,1,1,0,0,,,2025-06-02 15:45:28.271,2025-06-11 14:23:17.478,2025-06-05 19:59:41.836
1364,1820,1,1,0,0,,5 mins away,2025-06-02 15:49:17.158,2025-06-13 17:26:05.633,2025-06-11 01:12:57.902
1365,1821,1,1,0,0,,,2025-06-02 18:29:03.727,2025-06-02 21:51:48.695,
1366,1822,1,1,0,0,,,2025-06-02 18:43:06.879,2025-06-08 17:13:46.036,
1367,1823,1,1,0,0,,,2025-06-02 21:06:03.700,2025-06-02 21:06:03.700,
1368,1824,1,1,0,0,,,2025-06-02 21:31:53.605,2025-06-04 18:21:27.253,
---
How long does it take?,2025-06-05 02:36:14.903,2025-06-27 09:01:35.704,2025-06-09 18:52:31.460,,,,,,,
1423,1879,1,1,0,0,,,2025-06-05 02:36:33.559,2025-06-05 17:36:13.289,
1424,1880,1,1,0,0,,Is the consultation free of charge?,2025-06-05 11:17:00.656,2025-06-05 18:22:50.147,2025-06-05 17:56:04.011
1425,1881,1,1,0,0,,Was curious about blacking out accents vs full wrap prices for it,2025-06-05 13:30:53.509,2025-06-06 01:23:26.872,2025-06-05 23:58:32.540
1426,1882,1,1,0,0,,,2025-06-05 15:09:29.775,2025-06-05 19:56:01.287,
1427,1883,1,1,0,0,,I would like to keep the color all the same and avoid the silver accents.,2025-06-05 15:17:09.560,2025-06-26 15:57:11.118,2025-06-05 19:29:27.359
1428,1884,1,1,0,0,,"Ok. I'll circle back around once I have more details. Thank you, Zee.",2025-06-05 16:07:56.256,2025-06-27 08:57:50.947,2025-06-05 19:21:07.073
1429,1885,1,1,0,0,,,2025-06-05 16:07:56.258,2025-06-05 17:25:35.048,
1430,1886,1,1,0,0,,,2025-06-05 16:28:52.229,2025-06-05 16:28:52.229,
1431,1887,1,1,0,0,,thank you,2025-06-05 17:44:08.869,2025-06-27 12:58:12.623,2025-06-05 19:08:26.807
---
-Ali Merchant,,2025-06-11 22:29:09.915,2025-06-11 22:39:10.527,2025-06-11 22:39:03.644,,,,,,
1500,1956,1,1,0,0,,,2025-06-11 23:19:24.578,2025-06-12 06:07:38.499,
1501,1957,1,1,0,0,,,2025-06-12 06:36:51.468,2025-06-12 12:53:41.259,
1502,1958,1,1,0,0,,,2025-06-12 07:13:29.941,2025-06-12 07:13:29.941,
1503,1959,1,1,0,0,,,2025-06-12 07:16:17.716,2025-06-17 15:18:15.902,
1507,1963,1,1,0,0,,,2025-06-12 14:47:42.147,2025-06-12 18:20:55.081,
1508,1964,1,1,0,0,,"Hello, this is a test SMS 3",2025-06-12 14:48:20.564,2025-06-23 03:40:41.533,2025-06-17 14:01:46.516
1509,1965,1,1,0,0,,,2025-06-12 14:49:39.273,2025-06-23 13:23:41.258,
1510,1966,1,1,0,0,,,2025-06-12 16:15:49.325,2025-06-18 18:05:57.422,
1511,1967,1,1,0,0,,,2025-06-12 17:34:29.318,2025-06-30 18:39:14.125,
---
Photos of the colors as well.,2025-07-03 18:32:52.592,2025-07-12 16:26:17.865,2025-07-08 14:43:44.871,,,,,,,
1808,2264,1,1,0,0,,,2025-07-03 18:33:09.358,2025-07-03 18:33:09.358,
1809,2265,1,1,0,0,,,2025-07-03 18:50:38.613,2025-07-03 18:50:38.613,
1810,2266,1,1,0,0,,,2025-07-03 19:28:12.524,2025-07-03 20:51:20.220,
1811,2267,1,1,0,0,,,2025-07-03 21:03:11.459,2025-07-03 21:03:11.459,
1812,2268,1,1,0,0,,,2025-07-03 21:06:43.054,2025-07-03 21:06:43.054,
1813,2269,1,1,0,0,,,2025-07-03 21:18:34.010,2025-07-12 18:10:32.574,
1814,2270,1,1,0,0,,I have a 2021 Jeep grand Cherokee,2025-07-03 22:13:14.678,2025-07-09 17:17:59.292,2025-07-08 20:47:46.680
1815,2271,1,1,0,0,,My husband has already left... we'll find somewhere else,2025-07-03 22:51:07.581,2025-07-10 16:10:36.429,2025-07-10 15:36:05.386
1816,2272,1,1,0,0,,White with a few tiny scratches,2025-07-04 00:02:59.172,2025-07-09 17:18:09.578,2025-07-09 14:24:06.394
---
No rock chips.,2025-07-11 16:48:29.840,2025-07-12 21:07:42.217,2025-07-11 19:41:10.689,,,,,,,
1906,2367,1,1,0,0,,,2025-07-11 17:48:03.762,2025-07-11 17:48:03.762,
1907,2368,0,1,1,0,,Hmmm. Hadn't thought anout having just accents,2025-07-11 20:19:33.713,2025-07-12 16:41:12.250,2025-07-11 21:32:02.916
1908,2369,1,1,0,0,,,2025-07-11 20:27:55.657,2025-07-11 20:27:55.657,
1909,2370,1,1,0,0,,,2025-07-11 20:30:48.740,2025-07-11 20:30:48.740,
1910,2371,1,1,0,0,,,2025-07-11 22:03:14.614,2025-07-12 20:44:07.053,
1911,2372,1,1,0,0,,Full wrap,2025-07-11 23:45:30.801,2025-07-12 19:18:51.863,2025-07-12 07:13:10.361
1912,2373,1,1,0,0,,full rap,2025-07-12 13:13:13.170,2025-07-12 19:18:56.539,2025-07-12 16:27:06.158
1913,2374,1,1,0,0,,Ok,2025-07-12 13:51:54.097,2025-07-13 11:48:08.777,2025-07-12 21:10:34.255
1914,2375,1,1,0,0,,,2025-07-12 14:48:59.860,2025-07-12 14:48:59.860,
---
